Nama Produk,Harga Produk,Nama Toko,Lokasi,Terjual,Rating
Kylafood Seblak Original,15750,kylafood,Bandung,10000,4.9
"Kylafood Paket ( Seblak Original, Batagor, Cireng Rujak, Boci Goang)",86130,kylafood,Bandung,750,4.9
"Kylafood Seblak Rempah Autentik 115gr, Seblak Instan Halal",9900,Brother Meat Shop,Depok,100,5.0
Seblak Rafael/Seblak Coet Instan Halal,26600,Foodstocks,Jakarta Selatan,50,5.0
"Seblak Rafael, Seblak Coet Instan Halal",23750,Brother Meat Shop,Depok,500,4.9
SEBLAK INSTANT TERMURAH,4450,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,10000,4.8
Seblak Instan Pedas Home Made,3500,the Dhecip,Tangerang Selatan,3000,4.9
Seblak Hot Spicy By Bapper Food / Seblak Instant Khas Bandung,16800,Foodstocks,Jakarta Selatan,100,5.0
KERUPUK SEBLAK PEDAS / KRUPUK SEBLAK KERING DAUN JERUK PEDES,25000,LEGIT SNACK,Jakarta Barat,70,4.9
Kerupuk Seblak / Seblak / Kering Pedas /,10000,Anggris store,Kab. Bogor,50,4.8
"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",9999,aghniya,Tangerang Selatan,500,4.8
SEBRING KRUPUK KERUPUK SEBLAK KERING PEDAS DAUN JERUK 1KG CABE ASLI,16000,Aydaa Snack,Surakarta,100,4.9
Kerupuk Seblak Kering Putih Ngembang Khas Keripik Pojok Riki Mang Odod,13999,Keripik Edun Bandung,Kab. Bandung,30,5.0
Seblak RAFAEL | Seblak MAMANG RAFAEL | Seblak Viral ORIGINAL TATANGGA,39500,Beauty DELUXE,Jakarta Barat,40,4.9
Kerupuk SEBLAK MAWAR Rafael - Cikruh Daun Jeruk,20000,KRIUK JAYA,Jakarta Barat,40,4.9
Krupuk seblak mawar rafael pedas 250gram,12500,Markas Makaroni,Kab. Bekasi,100,4.7
[250 gr] Kerupuk Seblak Pedas,11500,CamilanJati,Kab. Sidoarjo,50,5.0
Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,15000,Lidigeli,Kab. Garut,250,4.8
Geli Food Seblak Ceker Tanpa Tulang Super Pedas 180gr,24000,Lidigeli,Kab. Garut,100,4.8
Seblak Instan Komplit Pedas Gurih Nikmat,5999,Baso Aci Ayang,Kab. Garut,3000,4.9
 Kylafood Seblak karuhun,11880,kylafood,Bandung,4000,4.8
cuanki tahu kering seblak atau batagor kering isi 150 pcs,34999,CUANKI CULAMETAN,Kab. Garut,100,4.9
Seblak Instant Basranger Extra Pedas Daun Jeruk (200gr),19700,Gerai Snack Official Shop,Kab. Tangerang,100,4.8
pangsit segitiga kering atau cipet isi 100 toping seblak baso aci,32999,CUANKI CULAMETAN,Kab. Garut,50,4.8
Kylafood Seblak Mie Baso Sapi Play,24200,kylafood,Bandung,250,4.9
Seblak Instan Jontor Plus Bumbu Kencur - Seblak Pedas Medok,8100,snackbox88,Bekasi,60,5.0
3 BASO ACI FREE SEBLAK SAJODO SNACK & FOOD,63000,Sajodo Snack & Food,Tasikmalaya,60,5.0
Cuankie Lidah topping baso aci / seblak,2500,Pusat Cuankie & Cemilan Frozen,Jakarta Timur,7000,4.8
Kerupuk Seblak Pedas Krupuk Pelangi Pedas Seblak 200gram,14725,toko bemo,Jakarta Timur,500,4.9
Seblak Instan Kenyang Murah Asli Bandung Reseller Tanpa Pengawet,7138,Berkah Food Bandung,Cimahi,7000,4.9
Pasar Keripik Kerupuk Seblak Mawar Pedas size Kiloan,65000,Pasar Keripik Bandung,Bandung,7,5.0
Kylafood Mix Fav Selebgram Seblak Original & Batagor kuah,44340,kylafood,Bandung,100,4.8
cuanki tahu gepeng isi 100 pcs toping seblak bsso aci,38999,CUANKI CULAMETAN,Kab. Garut,100,4.8
Kylafood Seblak Mie Baso,24200,kylafood,Bandung,4000,4.9
Paket Isi 4 Batagor Instan | Makaroni Basah | Seblak Basah,64906,Lakoca Official Shop,Cimahi,30,4.9
Seblak Seafood Instan,7500,Cemilan Malang,Malang,18,5.0
[READY MEDAN] Extra Topping Baso Aci Cuanki Seblak - Tahu Siomay Mini,4000,CemilanPuas,Medan,250,4.4
SEBLAK KERING 100gr DUA VARIAN RASA,4500,jajanangarut19,Jakarta Selatan,250,4.6
Marenta Seblak Instan,14590,AMANA SNACK,Tangerang Selatan,100,5.0
YIMS seblak instant pedas napol termurah khas garut kerupuk seblak teh,5500,Yimshop,Semarang,250,4.7
seblak instan om brewok,14000,Muysproduct,Kab. Bogor,2,5.0
Cuanki Pangsit kering Segitiga Cipet isi 100 toping seblak baso aci,32500,CuankiCulametan,Kab. Garut,60,4.6
seblak instan mie bakso om brewok,16000,Muysproduct,Kab. Bogor,5,5.0
